name,id,text,person_type,extraversion,active,assertive,cheerful,openness,adventurous,artistic,emotionally_aware,imaginative,intellectual,conscientiousness,cautious,disciplined,dutiful,neuroticism,melancholy,self_conscious,authority_challenging,achievement_striving,orderliness,self_efficacy,stress_prone,agreeableness,cooperative,trusting,excitement_seeking,outgoing,gregariousness,altruism,modesty,uncompromising,sympathy,fiery,prone_to_worry,immoderation
Albert Einstein,1,"""Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world. Try not to become a man of success, but rather try to become a man of value. The important thing is not to stop questioning. Curiosity has its own reason for existing.""
",real,0.66443964,0.811618523,1,0.755594234,0.789983063,0.742801839,0.875299517,0.744667234,0.969896115,0.876454657,0.669957775,0.349086425,0.790505998,0.260554311,0.372236054,0.32338456,0.302568625,0.948081141,0.833979847,0.31141169,0.750911234,0.209197412,0.379642999,0.778322393,0.827415843,0.783520523,0.842362417,0.736120759,0.289986966,0.312761955,0.842104852,0.765444144,0.344325375,0,0.949361161
Aristotle,2,"""Knowing yourself is the beginning of all wisdom. Educating the mind without educating the heart is no education at all. We are what we repeatedly do. Excellence, then, is not an act, but a habit.""",real,0.632171026,0.283057503,0.744699676,0.718686801,0.74533167,0.668422206,0.233938924,0.708911959,0.156431172,0.894145207,0.602526291,0.723119186,1,0.775035392,0.591908791,0.176756101,0.766482405,0,0.831763179,0.207757517,0.709855737,0.221122084,0.340838614,0.844200822,0.983863085,0.226026358,0.740646488,0.245458069,0.678837468,0.74782594,0.827962788,0.7798554,0.174834839,0.085032695,0.746865309
Arthur Conan Doyle,3,"""When the spirits are low, when the day appears dark, when work becomes monotonous, when hope hardly seems worth having, just mount a bicycle and go out for a spin down the road, without thought on anything but the ride you are taking.""",real,0.279732008,0.250092426,0.185511141,0.739763208,0.369606579,0.238911081,0.168513693,0.677021434,1,0.727157143,0.279479526,0.261607409,0.784668933,0.185880847,0.704451798,0.775327099,0.94171273,0.77687806,0.217089424,0.205448201,0.242067106,0.768609275,0.363817528,0.257125853,0,0.731160786,0.263564144,0.141407948,0.240164474,0.280327145,0.731386216,0.746976979,0.098558148,0.259885121,0.168468607
Carl Jung,4,"""Until you make the unconscious conscious, it will direct your life and you will call it fate. I am not what happened to me, I am what I choose to become. Your visions will become clear only when you can look into your own heart. Who looks outside, dreams; who looks inside, awakes.""",real,0.262781277,0.082181812,0.063229218,0.698561576,0.566168326,0.700186777,0.269524649,0.678784253,0.8730726,0.72899569,0.766876622,0.241556635,0.675574278,0.092749662,0.608124389,0.796017044,1,0.222814266,0.041293046,0.198711159,0.161824753,0.805250774,0.320213136,0.804062194,0.148451208,0.196172287,0.253790115,0.119715064,0.137980384,0.112510814,0.807110457,0.705911366,0.13588622,0,0.820112066
Charlotte Brontë,5,"""Imagination is a strong, restless faculty, which claims to be heard and exercised: are we to be quite deaf to her cry, and insensate to her struggles? Life appears to me too short to be spent in nursing animosity, or registering wrongs. I can live alone, if self-respect, and circumstances require me so to do.""",real,0.659996637,0.778186481,0.843944426,0.769032706,0.756347738,0.287056499,0.790219859,0.774529174,0.889608206,0.895504036,0.312457962,0.165934505,0.80913696,0.049121406,0.669318564,0.878468135,0.848589625,1,0.161299815,0.117895578,0.161888347,0.120480915,0.306551623,0.126071969,0.071464604,0.731608374,0.160753321,0.241077434,0.06671431,0.197620649,0.986936691,0.175119808,0.182497478,0,0.982606777
Fyodor Dostoevsky,6,"""Man is a mystery: if you spend your entire life trying to puzzle it out, then do not say that you have wasted your time. I occupy myself with this mystery, because I want to be a man. I want to say to you, about myself, that I am a child of this age, a child of unfaith and skepticism, and probably (indeed I know it) shall remain so to the end of my life. How dreadfully has it tormented me (and torments me even now) this longing for faith, which is all the stronger for the proofs I have against it.""",real,0.271759585,0.167784615,0,0.101850676,0.662895275,0.266321854,0.160488126,0.765288569,0.823556577,0.793989633,0.623815186,0.739589226,0.145571885,0.828751862,0.60731727,0.88267892,0.848701756,0.861078079,0.032441668,0.180622741,0.140976944,0.730491705,0.305182585,0.851772747,0.055808906,0.180114758,0.802105822,0.168927578,0.191809922,0.170867151,0.862775206,0.908851611,0.137040073,0.800847409,1
Jane Austen,7,"""There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves; it is not my nature. I do not want people to be very agreeable, as it saves me the trouble of liking them a great deal. Life seems but a quick succession of busy nothings.""",real,0.805540997,0.831252376,0.06645703,0.802437546,0.336991707,0.822753851,0.076969716,0.927305238,0.07101972,0.080586984,0.309327825,0.785419942,0.081892078,0,0.326828416,0.750089918,0.782460359,0.049675782,0.2054444,0.156703764,0.112751899,0.759061154,0.682862164,0.897421669,1,0.203584384,0.115906732,0.809507661,0.829721203,0.161872758,0.843306512,0.827193226,0.168233807,0.223016925,0.91959799
Plato,8,"""The first and greatest victory is to conquer yourself; to be conquered by yourself is of all things most shameful and vile. I am the wisest man alive, for I know one thing, and that is that I know nothing. At the touch of love, everyone becomes a poet.""",real,0.775834567,0.753770476,0.917818425,0.783896079,0.653202159,0.729738765,0.693777162,0.304608625,0.753627203,0.806437748,0.689354792,0.660728784,0.896929175,0.782224557,0.30635656,0.234356942,0.195892832,1,0.809866756,0.212359712,0.900558766,0.139452696,0.333425665,0.763971536,0.934696022,0.753197383,0.816476432,0.148154162,0.718085868,0.757266345,0.834462009,0.163150103,0.105143512,0,0.878542433
Richard Dawkins,9,"""We are going to die, and that makes us the lucky ones. Most people are never going to die because they are never going to be born. Faith is the great cop-out, the great excuse to evade the need to think and evaluate evidence. Faith is belief in spite of, even perhaps because of, the lack of evidence.""",real,0.296122258,0.135432509,0.08236923,0.768006797,0.624455889,0.696105476,0.179643168,0.720565561,0.064968166,0.129044777,0.24446449,0.750647689,0.077670208,0.07699892,0.192995521,0.84280305,0.737001647,0.132159977,0.160826105,0.007877154,0.128237133,0.04268977,0.644961663,0.790820126,0.853879315,0.173140058,0.19130681,0.071240521,0.872969089,0,1,0.731012492,0.143425041,0.802053724,0.77984875
Sigmund Freud,10,"""Being entirely honest with oneself is a good exercise. The mind is like an iceberg; it floats with one-seventh of its bulk above water. Words have a magical power. They can either bring the greatest happiness or the deepest despair.""",real,0.535174897,0.607007283,0.631518923,0.661977223,0.561706773,0.635803777,0.58013327,0.566977305,0.619503413,0.670946089,0.247592825,0.56252953,0.778205901,1,0.246566415,0.133205168,0.727178677,0.083269522,0.62032617,0.171109011,0.671231203,0.558668274,0.258247935,0.665064599,0.688574268,0.546123267,0.71034067,0.562806497,0.576288307,0.176843872,0.646255234,0.705542612,0,0.141701559,0.651354698
