name,id,text,person_type,ext,agr,neu,con,ope,ext1,ext2,ext3,ext4,ext5,neu1,neu2,neu3,neu4,neu5,con1,con2,con3,con4,con5,ope1,ope2,ope3,ope4,ope5
Albert Einstein,1,"""Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world. Try not to become a man of success, but rather try to become a man of value. The important thing is not to stop questioning. Curiosity has its own reason for existing.""
",real,,,,,,,,,,,,,,,,,,,,,,,,,
Aristotle,2,"""Knowing yourself is the beginning of all wisdom. Educating the mind without educating the heart is no education at all. We are what we repeatedly do. Excellence, then, is not an act, but a habit.""",real,,,,,,,,,,,,,,,,,,,,,,,,,
Arthur Conan Doyle,3,"""When the spirits are low, when the day appears dark, when work becomes monotonous, when hope hardly seems worth having, just mount a bicycle and go out for a spin down the road, without thought on anything but the ride you are taking.""",real,,,,,,,,,,,,,,,,,,,,,,,,,
Carl Jung,4,"""Until you make the unconscious conscious, it will direct your life and you will call it fate. I am not what happened to me, I am what I choose to become. Your visions will become clear only when you can look into your own heart. Who looks outside, dreams; who looks inside, awakes.""",real,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte Brontë,5,"""Imagination is a strong, restless faculty, which claims to be heard and exercised: are we to be quite deaf to her cry, and insensate to her struggles? Life appears to me too short to be spent in nursing animosity, or registering wrongs. I can live alone, if self-respect, and circumstances require me so to do.""",real,,,,,,,,,,,,,,,,,,,,,,,,,
Fyodor Dostoevsky,6,"""Man is a mystery: if you spend your entire life trying to puzzle it out, then do not say that you have wasted your time. I occupy myself with this mystery, because I want to be a man. I want to say to you, about myself, that I am a child of this age, a child of unfaith and skepticism, and probably (indeed I know it) shall remain so to the end of my life. How dreadfully has it tormented me (and torments me even now) this longing for faith, which is all the stronger for the proofs I have against it.""",real,,,,,,,,,,,,,,,,,,,,,,,,,
Jane Austen,7,"""There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves; it is not my nature. I do not want people to be very agreeable, as it saves me the trouble of liking them a great deal. Life seems but a quick succession of busy nothings.""",real,,,,,,,,,,,,,,,,,,,,,,,,,
Plato,8,"""The first and greatest victory is to conquer yourself; to be conquered by yourself is of all things most shameful and vile. I am the wisest man alive, for I know one thing, and that is that I know nothing. At the touch of love, everyone becomes a poet.""",real,,,,,,,,,,,,,,,,,,,,,,,,,
Richard Dawkins,9,"""We are going to die, and that makes us the lucky ones. Most people are never going to die because they are never going to be born. Faith is the great cop-out, the great excuse to evade the need to think and evaluate evidence. Faith is belief in spite of, even perhaps because of, the lack of evidence.""",real,,,,,,,,,,,,,,,,,,,,,,,,,
Sigmund Freud,10,"""Being entirely honest with oneself is a good exercise. The mind is like an iceberg; it floats with one-seventh of its bulk above water. Words have a magical power. They can either bring the greatest happiness or the deepest despair.""",real,,,,,,,,,,,,,,,,,,,,,,,,,
Suzanne Collins,11,"""If we introduce kids to these ideas at an age-appropriate time, you can get them to think about these issues before they are in a situation where they have to deal with them. I was flipping through images of reality television, where there were these young people competing for a million dollars... and then I saw footage from the Iraq war, and these two things began to fuse together in a very unsettling way.""",real,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias_2023,12,,real,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias_2025,13,,real,,,,,,,,,,,,,,,,,,,,,,,,,
William Shakespeare,14,"""This above all: to thine own self be true. A fool thinks himself to be wise, but a wise man knows himself to be a fool. Love looks not with the eyes, but with the mind; and therefore is winged Cupid painted blind.""",real,,,,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Bennet,15,"""I am only resolved to act in that manner, which will, in my own opinion, constitute my happiness, without reference to you, or to any person so wholly unconnected with me. How despicably have I acted!... I, who have prided myself on my discernment!... Till this moment I never knew myself.""",fictional,,,,,,,,,,,,,,,,,,,,,,,,,
